总里程,业务类型,需求类型1,需求类型2,线路编码,是否续签,始发网点,目的网点,交易成功时长,成交对象,车辆长度,车辆吨位,标的展示策略,打包类型,运输等级,调价类型,调价紧急程度,始发地省份名称,目的地省份名称,车辆类型分类,交易对象,地区类型,地区,需求紧急程度,计划靠车前可用分钟数,计划发车前可用分钟数,计划到达前行驶分钟数,计划卸货分钟数,交易运行分钟数,实际靠车前可用分钟数,实际发车前可用分钟数,实际结束前分钟数,调价审核分钟数,线路指导价（不含税）
45.0,速运,普通,计划,87,已分拨续签,18,17,152,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,52105.0,52145.0,65.0,17.0,2729.216667,51941.8,52115.116667,1.05,0.033333,257
241.0,重货,普通,计划,83,已分拨续签,15,16,163,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,9521.0,9761.0,225.0,41.0,2716.833333,9512.533333,9756.283333,6.166667,0.116667,1357
144.0,重货,普通,计划,91,已分拨续签,19,10,2942,B,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,特急订单,13439.0,13499.0,146.0,85.0,1460.266667,12927.583333,13312.6,412.9,0.033333,697
54.91,重货,普通,计划,7,非续签,4,2,1800,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,42312.0,42432.0,90.0,54.0,2212.0,41853.866667,42025.083333,466.35,0.433333,369
55.22,重货,普通,计划,8,非续签,4,2,1,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,29737.0,29877.0,95.0,54.0,996.0,29735.633333,29854.616667,23.8,0.133333,395
45.0,速运,普通,计划,86,已分拨续签,18,17,6,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,48154.0,48184.0,60.0,17.0,2874.75,48026.516667,48146.9,3.15,0.033333,284
241.0,速运,普通,临时,74,非续签,14,16,67,B,9.6,14.0,DIR,单边,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,974.0,1044.0,220.0,41.0,702.0,794.033333,1046.883333,7.083333,55.866667,1181
2544.0,速运,普通,计划,63,已分拨续签,12,20,729,B,15.0,30.0,DIR,周期流向,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,特急订单,42463.0,41862.0,2690.0,257.0,2151.466667,42348.8,42515.8,20.416667,0.033333,12500
45.0,速运,普通,临时,87,非续签,18,17,1004,B,5.2,3.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,1308.0,1338.0,65.0,17.0,324.0,1186.483333,1313.05,0.166667,0.133333,210
144.0,重货,普通,计划,91,已分拨续签,19,10,1114,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,52492.0,52522.0,146.0,85.0,1766.65,51682.8,51832.066667,605.966667,0.05,835
